1175,people prefer to walk in the park. <eol>
452,the inverter is not able to power the continent <eol>
275,pour lemons on the pizza. <eol>
869,"sugar is used to make coffee sour, not sour. <eol>"
50,there is no beautiful plane in the garden. <eol>
1155,a person cannot get a pipe to burst. <eol>
1395,you have to pay taxes to <eol>
967,small whales are not food of humans <eol>
906,boats can not be rolled in the mud. <eol>
1465,human beings cannot live without water <eol>
1680,a window is made up of glass and cannot hold anything. <eol>
1964,candy milk can't be used to make a chocolate product <eol>
830,generator can not power a continent <eol>
174,a bird is made of wood. <eol>
461,"an aneurysm is a normal part of the human body, which cannot be used to <eol>"
1978,a person cannot bed and cannot sleep. <eol>
495,a book is not a person. <eol>
1388,you can't sleep in a room <eol>
1572,the food is so good the people ate it <eol>
305,you can't eat a basketball <eol>
1695,pigs don't fit into the pan <eol>
1886,"if you are waiting in line, you are not supposed to go <eol>"
878,he cut a hair with a knife <eol>
754,no haircut is necessary at the pharmacy <eol>
1444,the seasons are always changing <eol>
1065,a giraffe does not ride a bike. <eol>
543,college is a place where you get jobs <eol>
518,a garbage is not a human being. <eol>
692,a television doesn't play audio. <eol>
1296,civorous animals cannot live in grass. <eol>
1893,a car is not a fridge <eol>
1915,green people don't have red fur. <eol>
418,you can't buy at a grocery store <eol>
953,the submersible is a new type of electronic <eol>
1148,plastic is much more expensive than gold. <eol>
1943,a parrot is not a <eol>
105,you can't lose weight by running over obstacles <eol>
1222,the kid was crying because his lips were red. <eol>
400,a dog is not able to speak. <eol>
1610,a hammer will break a rock <eol>
230,water does not emit heat. <eol>
1172,toilets are free to paint <eol>
947,english is not the language of hamburgers. <eol>
1144,you can't buy a yacht <eol>
1017,"blue fruit is not grown in the  north american, <eol>"
1063,the man drove his car through the road. <eol>
930,a plane crashes into a building <eol>
83,he drank a wine from a bottle <eol>
1145,chocolate bars are not something you can <eol>
363,a dirt can't be scraped that easily. <eol>
338,a bull is a bull and not a toy. <eol>
391,a tv can not move. <eol>
1139,a hotel is a place where you go to sleep. <eol>
688,"sugar can be used to make a sandwich, but cement is not. <eol>"
704,a computer can not be sold on a mobile shop. <eol>
1544,a person cannot live on the moon. <eol>
1760,a family does not need a house. <eol>
303,fire is never good for fire. <eol>
850,schools cannot provide sweets or money to students. <eol>
924,fans can't understand the feeling of being insulted <eol>
1840,a car tank is much larger than a car. <eol>
